City_ID,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Lng,Lat
80,East London,ZA,1651350368,17.16,0,5.65,71,27.9116,-33.0153
81,Myskhako,RU,1651350368,13.79,99,6.03,87,37.7433,44.6714
82,Hilo,US,1651350369,25.71,100,4.63,87,-155.09,19.7297
83,Tarazá,CO,1651350369,30.44,99,1.47,75,-75.4007,7.5836
84,Bambous Virieux,MU,1651350370,25.14,40,3.6,83,57.7575,-20.3428
85,Ostrovnoy,RU,1651350370,-7.58,93,4.65,83,39.5131,68.0531
86,Lagoa,PT,1651350185,16.1,0,4.7,87,-27.9833,39.05
87,Tiznit Province,MA,1651350356,21.12,0,1.97,36,-9.5,29.5833
88,George Town,MY,1651350211,27.96,20,1.54,93,100.3354,5.4112
89,Fortuna,US,1651350371,14.25,100,4.63,89,-124.1573,40.5982
90,Whitianga,NZ,1651350372,15.79,50,3.6,84,175.7,-36.8333
91,Magadan,RU,1651350372,-0.26,11,2.74,73,150.8,59.5667
92,Jinchang,CN,1651350373,6.87,75,2.35,42,102.1739,38.4953
93,Domoni,KM,1651350373,26.28,81,3.93,86,44.5319,-12.2569
94,Bredasdorp,ZA,1651350081,13.35,11,2.45,86,20.0403,-34.5322
95,Oranjemund,NA,1651350374,13.13,0,6.22,87,16.4333,-28.55
96,Yellowknife,CA,1651350260,2.29,0,4.12,51,-114.3525,62.456
97,Aquiraz,BR,1651350375,29.05,30,2.37,80,-38.3911,-3.9014
98,Kalabo,ZM,1651350376,17.72,0,2.26,50,22.6814,-14.97
99,Morant Bay,JM,1651350300,29.84,30,5.41,71,-76.4093,17.8815
100,Ilulissat,GL,1651350340,-3.99,0,7.2,46,-51.1,69.2167
101,Alexandria,EG,1651350377,17.98,0,4.12,68,29.9553,31.2156
102,Kaihua,CN,1651350377,13.81,100,4.91,87,104.28,23.3687
103,Mahébourg,MU,1651350278,25.16,40,3.6,83,57.7,-20.4081
104,Mar del Plata,AR,1651349769,13.82,0,5.66,56,-57.5575,-38.0023
105,Pekalongan,ID,1651350378,26.73,100,2.51,81,109.6753,-6.8886
106,Lichinga,MZ,1651350379,17.05,20,2.57,88,35.2406,-13.3128
107,Zhigansk,RU,1651350379,-0.66,100,14.29,97,123.3711,66.7697
108,Ambunti,PG,1651350380,22.76,100,0.25,99,142.8448,-4.2365
109,Khandyga,RU,1651350380,-6.59,63,1.49,96,135.6,62.6667
110,Polson,US,1651350381,13.05,100,1.98,64,-114.1632,47.6936
111,Pangnirtung,CA,1651350347,-3.53,100,2.19,91,-65.7125,66.1451
112,Caravelas,BR,1651350382,24.92,2,2.11,74,-39.2481,-17.7125
113,Hobart,AU,1651350117,14.92,75,4.12,63,147.3294,-42.8794
114,Richards Bay,ZA,1651350266,18.97,9,4.19,77,32.0377,-28.783
115,Gushikawa,JP,1651350383,21.57,100,3.09,80,127.8686,26.3544
116,Saint Paul Harbor,US,1651350255,3.73,100,15.95,93,-152.4072,57.79
117,Nome,US,1651350090,9.04,0,2.57,43,-165.4064,64.5011
118,Alofi,NU,1651350384,24.94,94,1.54,94,-169.9187,-19.0595
119,Opuwo,NA,1651350331,22.92,49,2.54,38,13.84,-18.0607
120,Juan de Ayolas,PY,1651350384,22.23,100,1.85,78,-56.9,-27.4
121,Celestún,MX,1651350385,28.67,27,5.38,69,-90.4,20.8667
122,Xichang,CN,1651350385,8.53,100,3.38,90,102.2634,27.8964
123,Klyuchi,RU,1651350386,16.13,72,3.87,32,79.1667,52.2667
124,Nara,JP,1651350386,14.72,100,0.65,86,135.8049,34.6851
125,Coyhaique,CL,1651350387,10.97,75,3.09,71,-72.0662,-45.5752
126,Saldanha,ZA,1651350387,13.03,8,5.43,87,17.9442,-33.0117
127,Kodīnar,IN,1651350388,27.77,0,5.45,82,70.7031,20.7903
128,Margate,GB,1651350295,9.61,100,0.45,75,1.3862,51.3813
129,Koulamoutou,GA,1651350388,23.25,99,1.14,91,12.4736,-1.1303
130,Kondinskoye,RU,1651350239,0.05,10,2.7,60,67.41,59.6481
131,Domanivka,UA,1651350389,10.25,73,2.03,69,30.9885,47.6319
132,Bluff,NZ,1651350114,17.67,100,6.28,66,168.3333,-46.6
133,Tuktoyaktuk,CA,1651350390,0.0,20,4.12,74,-133.0374,69.4541
134,Broken Hill,AU,1651350354,9.84,0,2.06,81,141.4333,-31.95
135,Midland,US,1651350222,28.92,0,6.69,16,-102.0779,31.9974
136,Bengkulu,ID,1651350135,24.55,86,2.32,88,102.2655,-3.8004
137,Abu Kamal,SY,1651350391,25.69,76,5.91,37,40.9171,34.4506
138,Aasiaat,GL,1651350392,-6.33,4,5.55,75,-52.8699,68.7098
139,Port Hardy,CA,1651350392,13.1,40,3.6,67,-127.4199,50.6996
140,Estelle,US,1651350393,31.11,40,5.66,53,-90.1067,29.8458
141,Qarchī Gak,AF,1651350393,29.48,100,4.76,25,66.7889,37.04
142,Buala,SB,1651350394,26.59,100,0.63,80,159.5921,-8.145
143,Khorinsk,RU,1651350394,7.26,100,1.64,81,109.7726,52.1657
144,Karratha,AU,1651350202,24.26,88,5.59,52,116.8463,-20.7377
145,Clyde River,CA,1651350395,-8.87,100,1.54,86,-68.5914,70.4692
146,Cape Town,ZA,1651350395,15.51,0,2.57,80,18.4232,-33.9258
147,Mariental,NA,1651350396,18.33,0,6.02,21,17.9667,-24.6333
148,Ribeira Grande,PT,1651350396,18.22,20,4.12,77,-28.7,38.5167
149,Hōfu,JP,1651350397,12.87,100,1.34,75,131.5667,34.05
150,New Norfolk,AU,1651350397,14.72,100,1.79,67,147.0587,-42.7826
151,San Cristobal,VE,1651350253,29.1,100,2.9,82,-72.225,7.7669
152,Shakawe,BW,1651350398,20.95,78,2.18,41,21.85,-18.3667
153,Bathurst,AU,1651350399,6.01,1,1.03,89,149.5806,-33.4166
154,Laredo,US,1651350113,32.16,100,5.14,55,-99.5075,27.5064
155,Norman Wells,CA,1651350399,7.02,0,5.14,49,-126.8329,65.282
156,Trincomalee,LK,1651350400,28.04,15,6.27,81,81.2335,8.5711
157,Mabaruma,GY,1651350401,29.46,98,3.86,62,-59.7833,8.2
158,Buckeye,US,1651350401,35.29,46,2.19,6,-112.5838,33.3703
159,Yulara,AU,1651350402,15.91,40,5.14,55,130.9889,-25.2406
160,Ponta Delgada,PT,1651350402,17.4,20,4.12,88,-25.6667,37.7333
161,Nelson Bay,AU,1651350403,14.49,43,4.55,92,152.15,-32.7167
162,Bethel,US,1651350208,18.11,0,4.12,33,-73.414,41.3712
163,Mahon,ES,1651350403,16.31,0,1.54,72,4.2658,39.8885
164,Asău,RO,1651350404,6.64,68,1.28,96,26.4,46.4333
165,Bijāwar,IN,1651350404,32.43,0,1.9,17,79.5,24.6333
166,Lata,PT,1651350405,13.86,1,1.45,76,-8.3327,40.1629
167,Rabo de Peixe,PT,1651350405,16.73,20,4.12,88,-25.5833,37.8
168,Vestmannaeyjar,IS,1651350406,8.06,25,8.15,85,-20.2734,63.4427
169,Constitución,CL,1651350345,15.67,2,6.73,52,-72.4167,-35.3333
170,Batagay-Alyta,RU,1651350406,-16.51,9,2.1,87,130.4114,67.8006
171,Noumea,NC,1651349980,24.44,74,4.78,99,166.4572,-22.2763
172,Wasilla,US,1651350407,9.09,0,2.57,55,-149.4394,61.5814
173,Tari,NG,1651350408,34.61,97,4.31,28,4.4914,12.4086
174,Portland,US,1651350044,14.18,75,4.63,79,-122.6762,45.5234
175,Province of Vibo Valentia,IT,1651350409,12.33,99,1.3,73,16.1274,38.6996
176,Xai-Xai,MZ,1651350409,22.83,99,8.63,78,33.6442,-25.0519
177,Venado Tuerto,AR,1651350267,15.98,88,3.83,31,-61.9688,-33.7456
178,Aksu,CN,1651350410,16.75,100,2.4,19,80.2644,41.1231
179,Shīeli,KZ,1651350411,23.7,100,2.44,21,66.75,44.1667
180,Labuhan,ID,1651350411,26.24,100,3.8,89,112.2051,-6.8844
181,Bay Roberts,CA,1651350412,7.51,100,1.79,94,-53.2648,47.5999
182,Bariloche,AR,1651350412,9.86,75,3.09,62,-71.3082,-41.1456
183,Māngrol,IN,1651350413,28.1,0,5.37,84,70.1167,21.1167
184,Lahaina,US,1651350249,26.58,100,4.62,84,-156.6825,20.8783
185,Lebu,CL,1651350413,12.2,2,6.83,65,-73.65,-37.6167
186,Jamestown,US,1651350414,19.73,0,3.09,21,-79.2353,42.097
187,Rāyagada,IN,1651350414,27.07,70,1.46,79,83.4167,19.1667
188,Lexington Park,US,1651350367,20.03,100,3.6,28,-76.4538,38.2668
189,Vaini,TO,1651350415,25.09,100,4.12,94,-175.2,-21.2
190,Nishihara,JP,1651350416,21.6,100,3.09,81,127.7558,26.1842
191,Hithadhoo,MV,1651350175,29.62,100,6.55,68,73.0833,-0.6
